rank,city,country,region,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,avg_monthly_net_salary_usd,monthly_rent_1br_city_center_usd,monthly_rent_1br_outside_center_usd,petrol_price_usd_per_liter,annual_inflation_rate_2025_pct,population_city_millions,cost_crisis_tier,crisis_label,oil_shock_exposure,rent_to_salary_ratio_pct,data_year,baseline_city
1,Zurich,Switzerland,Western Europe,118.5,70.6,97.1,115.4,121.0,164.4,7200,2471,1750,1.92,1.2,0.45,1,Affluent – High Cost,Low,70.8,2026,"New York, USA (index=100)"
2,Geneva,Switzerland,Western Europe,116.5,65.1,93.6,114.3,121.8,158.5,7984,2279,1600,1.92,1.2,0.62,1,Affluent – High Cost,Low,70.2,2026,"New York, USA (index=100)"
3,Basel,Switzerland,Western Europe,112.4,49.6,84.4,110.4,114.9,183.7,6800,1736,1200,1.92,1.2,0.18,1,Affluent – High Cost,Low,69.1,2026,"New York, USA (index=100)"
4,Lausanne,Switzerland,Western Europe,111.5,55.0,86.3,108.9,116.2,163.7,6500,1925,1350,1.92,1.2,0.14,1,Affluent – High Cost,Low,70.1,2026,"New York, USA (index=100)"
5,Bern,Switzerland,Western Europe,110.0,46.8,81.8,107.3,110.2,174.4,6600,1638,1100,1.92,1.2,0.14,1,Affluent – High Cost,Low,67.2,2026,"New York, USA (index=100)"
6,New York,United States,North America,100.0,100.0,100.0,100.0,100.0,100.0,5100,3500,2200,0.93,3.1,8.34,2,High Cost – Global Benchmark,Low,62.9,2026,"New York, USA (index=100)"
7,Reykjavik,Iceland,Northern Europe,98.9,50.1,77.1,105.2,109.3,109.0,4120,1754,1200,2.1,5.5,0.24,2,High Cost – Rising Inflation,Low,68.4,2026,"New York, USA (index=100)"
8,San Francisco,United States,North America,97.6,80.5,90.0,103.2,109.2,151.0,6800,2818,1950,0.93,3.1,0.87,2,High Cost – High Wages,Low,69.2,2026,"New York, USA (index=100)"
9,Tel Aviv,Israel,Middle East,91.4,46.2,71.2,81.9,98.2,109.5,3900,1617,1000,1.75,3.8,4.42,2,High Cost – War Zone Premium,High,61.8,2026,"New York, USA (index=100)"
10,Seattle,United States,North America,90.3,60.2,76.9,98.0,95.8,165.0,6200,2107,1500,0.93,3.1,0.74,2,High Cost – High Wages,Low,71.2,2026,"New York, USA (index=100)"
11,Oslo,Norway,Northern Europe,90.2,39.3,67.5,90.7,99.1,110.8,4800,1376,950,2.05,4.2,0.7,2,High Cost – Manageable,Medium,69.0,2026,"New York, USA (index=100)"
12,Singapore,Singapore,Southeast Asia,87.7,73.1,81.2,77.3,55.5,105.5,5060,2559,1700,2.23,2.3,5.92,2,High Cost – Strong PPP,High,66.4,2026,"New York, USA (index=100)"
13,London,United Kingdom,Western Europe,87.5,70.1,79.7,68.9,89.7,117.5,4400,2454,1650,1.78,2.8,9.5,2,High Cost – Pressure,Medium,67.2,2026,"New York, USA (index=100)"
14,Washington DC,United States,North America,87.3,69.0,79.1,88.8,95.4,152.1,6100,2415,1650,0.93,3.1,0.72,2,High Cost – High Wages,Low,68.3,2026,"New York, USA (index=100)"
15,Boston,United States,North America,86.2,77.7,82.4,91.4,91.3,143.9,5800,2720,1900,0.93,3.1,0.69,2,High Cost – Manageable,Low,69.9,2026,"New York, USA (index=100)"
16,Copenhagen,Denmark,Northern Europe,85.7,46.1,68.0,78.3,99.9,136.9,4200,1614,1100,1.95,2.4,0.79,2,High Cost – Manageable,Low,68.2,2026,"New York, USA (index=100)"
17,Amsterdam,Netherlands,Western Europe,82.6,60.0,72.5,71.5,91.8,129.9,3800,2100,1450,2.18,3.1,0.91,2,High Cost – Manageable,Medium,69.0,2026,"New York, USA (index=100)"
18,Los Angeles,United States,North America,81.5,64.6,74.0,87.1,88.2,117.0,4800,2261,1550,1.18,3.1,3.99,2,High Cost – Affordability Crisis,Low,68.6,2026,"New York, USA (index=100)"
19,Luxembourg,Luxembourg,Western Europe,80.6,54.8,69.1,78.5,90.7,147.2,5500,1918,1300,1.55,2.1,0.66,2,High Cost – High Wages,Medium,67.8,2026,"New York, USA (index=100)"
20,Miami,United States,North America,79.5,69.0,74.8,80.3,99.1,105.5,4500,2415,1650,0.93,3.1,0.46,3,High Cost – Rent Pressure,Low,68.3,2026,"New York, USA (index=100)"
